Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue
Sodapop,1185732,10/7/2022,1,Northeast,New York,Powerade,$0.60 ,"9,250","$5,550.00 "
Sodapop,1185732,10/7/2022,1,Northeast,New York,Dasani Water,$0.65 ,"11,000","$7,150.00 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Coca-Cola,$0.60 ,"12,500","$7,500.00 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,250","$5,637.50 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Sprite,$0.50 ,"9,500","$4,750.00 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Fanta,$0.50 ,"9,250","$4,625.00 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400.00 "
Sodapop,1185732,11/8/2022,1,Northeast,New York,Dasani Water,$0.65 ,"10,750","$6,987.50 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Coca-Cola,$0.60 ,"12,000","$7,200.00 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500.00 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Sprite,$0.50 ,"9,250","$4,625.00 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500.00 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400.00 "
Sodapop,1185732,10/9/2022,1,Northeast,New York,Dasani Water,$0.65 ,"10,000","$6,500.00 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Coca-Cola,$0.65 ,"11,750","$7,637.50 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500.00 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Sprite,$0.55 ,"9,000","$4,950.00 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Fanta,$0.55 ,"8,750","$4,812.50 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Powerade,$0.65 ,"8,750","$5,687.50 "
Sodapop,1185732,12/10/2022,1,Northeast,New York,Dasani Water,$0.70 ,"10,000","$7,000.00 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Coca-Cola,$0.65 ,"11,500","$7,475.00 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Diet Coke,$0.55 ,"9,750","$5,362.50 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Sprite,$0.55 ,"9,200","$5,060.00 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Fanta,$0.55 ,"9,000","$4,950.00 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Powerade,$0.65 ,"8,750","$5,687.50 "
Sodapop,1185732,11/11/2022,1,Northeast,New York,Dasani Water,$0.70 ,"9,750","$6,825.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Coca-Cola,$0.65 ,"12,000","$7,800.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Sprite,$0.55 ,"9,500","$5,225.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Fanta,$0.55 ,"9,000","$4,950.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Powerade,$0.65 ,"9,000","$5,850.00 "
Sodapop,1185732,10/12/2022,1,Northeast,New York,Dasani Water,$0.70 ,"10,000","$7,000.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Coca-Cola,$0.25 ,"9,000","$2,250.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Diet Coke,$0.35 ,"9,000","$3,150.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Sprite,$0.35 ,"7,000","$2,450.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Fanta,$0.35 ,"7,000","$2,450.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Powerade,$0.40 ,"5,500","$2,200.00 "
BevCo,1197831,2/1/2022,1,South,Texas,Dasani Water,$0.35 ,"7,000","$2,450.00 "
BevCo,1197831,1/2/2022,1,South,Texas,Coca-Cola,$0.25 ,"8,500","$2,125.00 "
BevCo,1197831,1/2/2022,1,South,Texas,Diet Coke,$0.35 ,"8,500","$2,975.00 "
BevCo,1197831,1/2/2022,1,South,Texas,Sprite,$0.35 ,"6,750","$2,362.50 "
BevCo,1197831,1/2/2022,1,South,Texas,Fanta,$0.35 ,"6,250","$2,187.50 "
BevCo,1197831,1/2/2022,1,South,Texas,Powerade,$0.40 ,"5,000","$2,000.00 "
BevCo,1197831,1/2/2022,1,South,Texas,Dasani Water,$0.35 ,"7,000","$2,450.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Coca-Cola,$0.30 ,"8,750","$2,625.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Diet Coke,$0.40 ,"8,750","$3,500.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Sprite,$0.35 ,"7,000","$2,450.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Fanta,$0.40 ,"6,000","$2,400.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Powerade,$0.45 ,"5,000","$2,250.00 "
BevCo,1197831,3/3/2022,1,South,Texas,Dasani Water,$0.40 ,"6,500","$2,600.00 "
BevCo,1197831,2/4/2022,1,South,Texas,Coca-Cola,$0.30 ,"9,000","$2,700.00 "
BevCo,1197831,2/4/2022,1,South,Texas,Diet Coke,$0.40 ,"9,000","$3,600.00 "
BevCo,1197831,2/4/2022,1,South,Texas,Sprite,$0.35 ,"7,250","$2,537.50 "
BevCo,1197831,2/4/2022,1,South,Texas,Fanta,$0.40 ,"6,250","$2,500.00 "
BevCo,1197831,2/4/2022,1,South,Texas,Powerade,$0.45 ,"5,250","$2,362.50 "
BevCo,1197831,2/4/2022,1,South,Texas,Dasani Water,$0.40 ,"8,000","$3,200.00 "
BevCo,1197831,2/5/2022,1,South,Texas,Coca-Cola,$0.30 ,"9,250","$2,775.00 "
BevCo,1197831,2/5/2022,1,South,Texas,Diet Coke,$0.40 ,"9,250","$3,700.00 "
BevCo,1197831,2/5/2022,1,South,Texas,Sprite,$0.35 ,"7,750","$2,712.50 "
BevCo,1197831,2/5/2022,1,South,Texas,Fanta,$0.40 ,"7,000","$2,800.00 "
BevCo,1197831,2/5/2022,1,South,Texas,Powerade,$0.45 ,"6,000","$2,700.00 "
BevCo,1197831,2/5/2022,1,South,Texas,Dasani Water,$0.40 ,"9,500","$3,800.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Coca-Cola,$0.40 ,"9,500","$3,800.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Sprite,$0.40 ,"8,000","$3,200.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Fanta,$0.40 ,"7,500","$3,000.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Powerade,$0.45 ,"6,500","$2,925.00 "
BevCo,1197831,1/6/2022,1,South,Texas,Dasani Water,$0.50 ,"10,000","$5,000.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Coca-Cola,$0.40 ,"9,500","$3,800.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Sprite,$0.40 ,"11,000","$4,400.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Fanta,$0.40 ,"7,000","$2,800.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Powerade,$0.45 ,"7,000","$3,150.00 "
BevCo,1197831,3/7/2022,1,South,Texas,Dasani Water,$0.50 ,"9,750","$4,875.00 "
BevCo,1197831,5/8/2022,1,South,Texas,Coca-Cola,$0.40 ,"9,250","$3,700.00 "
BevCo,1197831,5/8/2022,1,South,Texas,Diet Coke,$0.45 ,"9,250","$4,162.50 "
BevCo,1197831,5/8/2022,1,South,Texas,Sprite,$0.40 ,"11,000","$4,400.00 "
BevCo,1197831,5/8/2022,1,South,Texas,Fanta,$0.40 ,"6,500","$2,600.00 "
BevCo,1197831,5/8/2022,1,South,Texas,Powerade,$0.45 ,"6,500","$2,925.00 "
BevCo,1197831,5/8/2022,1,South,Texas,Dasani Water,$0.50 ,"9,000","$4,500.00 "
BevCo,1197831,2/9/2022,1,South,Texas,Coca-Cola,$0.45 ,"8,500","$3,825.00 "
BevCo,1197831,2/9/2022,1,South,Texas,Diet Coke,$0.45 ,"8,500","$3,825.00 "
BevCo,1197831,2/9/2022,1,South,Texas,Sprite,$0.50 ,"9,000","$4,500.00 "
BevCo,1197831,2/9/2022,1,South,Texas,Fanta,$0.50 ,"6,250","$3,125.00 "
BevCo,1197831,2/9/2022,1,South,Texas,Powerade,$0.45 ,"6,250","$2,812.50 "
BevCo,1197831,2/9/2022,1,South,Texas,Dasani Water,$0.55 ,"8,500","$4,675.00 "
BevCo,1197831,1/10/2022,1,South,Texas,Coca-Cola,$0.45 ,"8,000","$3,600.00 "
BevCo,1197831,1/10/2022,1,South,Texas,Diet Coke,$0.45 ,"8,000","$3,600.00 "
BevCo,1197831,1/10/2022,1,South,Texas,Sprite,$0.50 ,"7,500","$3,750.00 "
BevCo,1197831,1/10/2022,1,South,Texas,Fanta,$0.50 ,"6,000","$3,000.00 "
BevCo,1197831,1/10/2022,1,South,Texas,Powerade,$0.45 ,"5,750","$2,587.50 "
BevCo,1197831,1/10/2022,1,South,Texas,Dasani Water,$0.55 ,"7,500","$4,125.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Coca-Cola,$0.45 ,"9,000","$4,050.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Diet Coke,$0.45 ,"9,000","$4,050.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Sprite,$0.50 ,"8,250","$4,125.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Fanta,$0.50 ,"6,750","$3,375.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Powerade,$0.45 ,"6,500","$2,925.00 "
BevCo,1197831,2/11/2022,1,South,Texas,Dasani Water,$0.55 ,"8,500","$4,675.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Coca-Cola,$0.45 ,"9,500","$4,275.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Diet Coke,$0.45 ,"9,500","$4,275.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Sprite,$0.50 ,"8,500","$4,250.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Fanta,$0.50 ,"7,000","$3,500.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Powerade,$0.45 ,"6,500","$2,925.00 "
BevCo,1197831,1/12/2022,1,South,Texas,Dasani Water,$0.55 ,"9,000","$4,950.00 "
FizzySip,1128299,20/1/2022,1,West,California,Coca-Cola,$0.40 ,"7,750","$3,100.00 "
FizzySip,1128299,20/1/2022,1,West,California,Diet Coke,$0.50 ,"7,750","$3,875.00 "
FizzySip,1128299,20/1/2022,1,West,California,Sprite,$0.50 ,"7,750","$3,875.00 "
FizzySip,1128299,20/1/2022,1,West,California,Fanta,$0.50 ,"6,250","$3,125.00 "
FizzySip,1128299,20/1/2022,1,West,California,Powerade,$0.55 ,"5,750","$3,162.50 "
FizzySip,1128299,20/1/2022,1,West,California,Dasani Water,$0.50 ,"7,750","$3,875.00 "
FizzySip,1128299,20/2/2022,1,West,California,Coca-Cola,$0.40 ,"8,250","$3,300.00 "
FizzySip,1128299,20/2/2022,1,West,California,Diet Coke,$0.50 ,"7,250","$3,625.00 "
FizzySip,1128299,20/2/2022,1,West,California,Sprite,$0.50 ,"7,250","$3,625.00 "
FizzySip,1128299,20/2/2022,1,West,California,Fanta,$0.50 ,"5,750","$2,875.00 "
FizzySip,1128299,20/2/2022,1,West,California,Powerade,$0.55 ,"5,000","$2,750.00 "
FizzySip,1128299,20/2/2022,1,West,California,Dasani Water,$0.50 ,"7,000","$3,500.00 "
FizzySip,1128299,19/3/2022,1,West,California,Coca-Cola,$0.50 ,"8,500","$4,250.00 "
FizzySip,1128299,19/3/2022,1,West,California,Diet Coke,$0.60 ,"7,000","$4,200.00 "
FizzySip,1128299,19/3/2022,1,West,California,Sprite,$0.60 ,"7,000","$4,200.00 "
FizzySip,1128299,19/3/2022,1,West,California,Fanta,$0.60 ,"6,000","$3,600.00 "
FizzySip,1128299,19/3/2022,1,West,California,Powerade,$0.65 ,"5,000","$3,250.00 "
FizzySip,1128299,19/3/2022,1,West,California,Dasani Water,$0.60 ,"7,000","$4,200.00 "
FizzySip,1128299,20/4/2022,1,West,California,Coca-Cola,$0.60 ,"8,750","$5,250.00 "
FizzySip,1128299,20/4/2022,1,West,California,Diet Coke,$0.65 ,"6,750","$4,387.50 "
FizzySip,1128299,20/4/2022,1,West,California,Sprite,$0.65 ,"7,250","$4,712.50 "
FizzySip,1128299,20/4/2022,1,West,California,Fanta,$0.60 ,"6,250","$3,750.00 "
FizzySip,1128299,20/4/2022,1,West,California,Powerade,$0.65 ,"5,250","$3,412.50 "
FizzySip,1128299,20/4/2022,1,West,California,Dasani Water,$0.80 ,"7,000","$5,600.00 "
FizzySip,1128299,21/5/2022,1,West,California,Coca-Cola,$0.60 ,"9,000","$5,400.00 "
FizzySip,1128299,21/5/2022,1,West,California,Diet Coke,$0.65 ,"7,500","$4,875.00 "
FizzySip,1128299,21/5/2022,1,West,California,Sprite,$0.65 ,"7,500","$4,875.00 "
FizzySip,1128299,21/5/2022,1,West,California,Fanta,$0.60 ,"6,500","$3,900.00 "
FizzySip,1128299,21/5/2022,1,West,California,Powerade,$0.65 ,"5,500","$3,575.00 "
FizzySip,1128299,21/5/2022,1,West,California,Dasani Water,$0.80 ,"7,250","$5,800.00 "
FizzySip,1128299,20/6/2022,1,West,California,Coca-Cola,$0.60 ,"9,750","$5,850.00 "
FizzySip,1128299,20/6/2022,1,West,California,Diet Coke,$0.65 ,"8,250","$5,362.50 "
FizzySip,1128299,20/6/2022,1,West,California,Sprite,$0.65 ,"8,250","$5,362.50 "
FizzySip,1128299,20/6/2022,1,West,California,Fanta,$0.60 ,"7,000","$4,200.00 "
FizzySip,1128299,20/6/2022,1,West,California,Powerade,$0.65 ,"5,750","$3,737.50 "
FizzySip,1128299,20/6/2022,1,West,California,Dasani Water,$0.80 ,"8,750","$7,000.00 "
FizzySip,1128299,19/7/2022,1,West,California,Coca-Cola,$0.60 ,"10,250","$6,150.00 "
FizzySip,1128299,19/7/2022,1,West,California,Diet Coke,$0.65 ,"8,750","$5,687.50 "
FizzySip,1128299,19/7/2022,1,West,California,Sprite,$0.65 ,"8,250","$5,362.50 "
FizzySip,1128299,19/7/2022,1,West,California,Fanta,$0.60 ,"7,250","$4,350.00 "
FizzySip,1128299,19/7/2022,1,West,California,Powerade,$0.65 ,"7,750","$5,037.50 "
FizzySip,1128299,19/7/2022,1,West,California,Dasani Water,$0.80 ,"7,750","$6,200.00 "
FizzySip,1128299,20/8/2022,1,West,California,Coca-Cola,$0.65 ,"9,750","$6,337.50 "
FizzySip,1128299,20/8/2022,1,West,California,Diet Coke,$0.70 ,"9,250","$6,475.00 "
FizzySip,1128299,20/8/2022,1,West,California,Sprite,$0.65 ,"8,000","$5,200.00 "
FizzySip,1128299,20/8/2022,1,West,California,Fanta,$0.65 ,"7,500","$4,875.00 "
FizzySip,1128299,20/8/2022,1,West,California,Powerade,$0.75 ,"7,500","$5,625.00 "
FizzySip,1128299,20/8/2022,1,West,California,Dasani Water,$0.80 ,"7,250","$5,800.00 "
FizzySip,1128299,21/9/2022,1,West,California,Coca-Cola,$0.55 ,"9,250","$5,087.50 "
FizzySip,1128299,21/9/2022,1,West,California,Diet Coke,$0.60 ,"9,250","$5,550.00 "
FizzySip,1128299,21/9/2022,1,West,California,Sprite,$0.55 ,"7,750","$4,262.50 "
FizzySip,1128299,21/9/2022,1,West,California,Fanta,$0.55 ,"7,250","$3,987.50 "
FizzySip,1128299,21/9/2022,1,West,California,Powerade,$0.65 ,"7,250","$4,712.50 "
FizzySip,1128299,21/9/2022,1,West,California,Dasani Water,$0.70 ,"7,750","$5,425.00 "
FizzySip,1128299,20/10/2022,1,West,California,Coca-Cola,$0.55 ,"8,750","$4,812.50 "
FizzySip,1128299,20/10/2022,1,West,California,Diet Coke,$0.60 ,"8,750","$5,250.00 "
FizzySip,1128299,20/10/2022,1,West,California,Sprite,$0.55 ,"7,000","$3,850.00 "
FizzySip,1128299,20/10/2022,1,West,California,Fanta,$0.55 ,"6,750","$3,712.50 "
FizzySip,1128299,20/10/2022,1,West,California,Powerade,$0.65 ,"6,500","$4,225.00 "
FizzySip,1128299,20/10/2022,1,West,California,Dasani Water,$0.70 ,"7,000","$4,900.00 "
FizzySip,1128299,20/11/2022,1,West,California,Coca-Cola,$0.55 ,"8,750","$4,812.50 "
FizzySip,1128299,20/11/2022,1,West,California,Diet Coke,$0.60 ,"8,750","$5,250.00 "
FizzySip,1128299,20/11/2022,1,West,California,Sprite,$0.55 ,"7,250","$3,987.50 "
FizzySip,1128299,20/11/2022,1,West,California,Fanta,$0.55 ,"7,000","$3,850.00 "
FizzySip,1128299,20/11/2022,1,West,California,Powerade,$0.65 ,"6,500","$4,225.00 "
FizzySip,1128299,20/11/2022,1,West,California,Dasani Water,$0.70 ,"7,750","$5,425.00 "
FizzySip,1128299,19/12/2022,1,West,California,Coca-Cola,$0.55 ,"9,750","$5,362.50 "
FizzySip,1128299,19/12/2022,1,West,California,Diet Coke,$0.60 ,"9,750","$5,850.00 "
FizzySip,1128299,19/12/2022,1,West,California,Sprite,$0.55 ,"7,750","$4,262.50 "
FizzySip,1128299,19/12/2022,1,West,California,Fanta,$0.55 ,"7,750","$4,262.50 "
FizzySip,1128299,19/12/2022,1,West,California,Powerade,$0.65 ,"7,000","$4,550.00 "
FizzySip,1128299,19/12/2022,1,West,California,Dasani Water,$0.70 ,"8,000","$5,600.00 "
DreamCo,1189833,15/1/2022,1,West,California,Coca-Cola,$0.35 ,"7,000","$2,450.00 "
DreamCo,1189833,15/1/2022,1,West,California,Diet Coke,$0.45 ,"7,000","$3,150.00 "
DreamCo,1189833,15/1/2022,1,West,California,Sprite,$0.45 ,"7,000","$3,150.00 "
DreamCo,1189833,15/1/2022,1,West,California,Fanta,$0.45 ,"5,500","$2,475.00 "
DreamCo,1189833,15/1/2022,1,West,California,Powerade,$0.50 ,"5,000","$2,500.00 "
DreamCo,1189833,15/1/2022,1,West,California,Dasani Water,$0.45 ,"7,000","$3,150.00 "
DreamCo,1189833,15/2/2022,1,West,California,Coca-Cola,$0.35 ,"7,500","$2,625.00 "
DreamCo,1189833,15/2/2022,1,West,California,Diet Coke,$0.45 ,"6,500","$2,925.00 "
DreamCo,1189833,15/2/2022,1,West,California,Sprite,$0.45 ,"6,750","$3,037.50 "
DreamCo,1189833,15/2/2022,1,West,California,Fanta,$0.45 ,"5,250","$2,362.50 "
DreamCo,1189833,15/2/2022,1,West,California,Powerade,$0.50 ,"4,500","$2,250.00 "
DreamCo,1189833,15/2/2022,1,West,California,Dasani Water,$0.45 ,"6,500","$2,925.00 "
DreamCo,1189833,14/3/2022,1,West,California,Coca-Cola,$0.35 ,"8,000","$2,800.00 "
DreamCo,1189833,14/3/2022,1,West,California,Diet Coke,$0.45 ,"6,500","$2,925.00 "
DreamCo,1189833,14/3/2022,1,West,California,Sprite,$0.45 ,"6,500","$2,925.00 "
DreamCo,1189833,14/3/2022,1,West,California,Fanta,$0.45 ,"5,500","$2,475.00 "
DreamCo,1189833,14/3/2022,1,West,California,Powerade,$0.50 ,"4,250","$2,125.00 "
DreamCo,1189833,14/3/2022,1,West,California,Dasani Water,$0.45 ,"6,250","$2,812.50 "
DreamCo,1189833,15/4/2022,1,West,California,Coca-Cola,$0.45 ,"8,000","$3,600.00 "
DreamCo,1189833,15/4/2022,1,West,California,Diet Coke,$0.50 ,"6,000","$3,000.00 "
DreamCo,1189833,15/4/2022,1,West,California,Sprite,$0.50 ,"6,250","$3,125.00 "
DreamCo,1189833,15/4/2022,1,West,California,Fanta,$0.45 ,"5,250","$2,362.50 "
DreamCo,1189833,15/4/2022,1,West,California,Powerade,$0.50 ,"4,250","$2,125.00 "
DreamCo,1189833,15/4/2022,1,West,California,Dasani Water,$0.65 ,"6,000","$3,900.00 "
DreamCo,1189833,16/5/2022,1,West,California,Coca-Cola,$0.45 ,"8,000","$3,600.00 "
DreamCo,1189833,16/5/2022,1,West,California,Diet Coke,$0.50 ,"6,500","$3,250.00 "
DreamCo,1189833,16/5/2022,1,West,California,Sprite,$0.50 ,"6,500","$3,250.00 "
DreamCo,1189833,16/5/2022,1,West,California,Fanta,$0.45 ,"5,500","$2,475.00 "
DreamCo,1189833,16/5/2022,1,West,California,Powerade,$0.50 ,"4,500","$2,250.00 "
DreamCo,1189833,16/5/2022,1,West,California,Dasani Water,$0.65 ,"6,250","$4,062.50 "
DreamCo,1189833,15/6/2022,1,West,California,Coca-Cola,$0.45 ,"9,000","$4,050.00 "
DreamCo,1189833,15/6/2022,1,West,California,Diet Coke,$0.50 ,"7,500","$3,750.00 "
DreamCo,1189833,15/6/2022,1,West,California,Sprite,$0.50 ,"7,500","$3,750.00 "
DreamCo,1189833,15/6/2022,1,West,California,Fanta,$0.45 ,"6,250","$2,812.50 "
DreamCo,1189833,15/6/2022,1,West,California,Powerade,$0.50 ,"5,000","$2,500.00 "
DreamCo,1189833,15/6/2022,1,West,California,Dasani Water,$0.65 ,"8,000","$5,200.00 "
DreamCo,1189833,14/7/2022,1,West,California,Coca-Cola,$0.45 ,"9,500","$4,275.00 "
DreamCo,1189833,14/7/2022,1,West,California,Diet Coke,$0.50 ,"8,000","$4,000.00 "
DreamCo,1189833,14/7/2022,1,West,California,Sprite,$0.50 ,"7,500","$3,750.00 "
DreamCo,1189833,14/7/2022,1,West,California,Fanta,$0.45 ,"6,500","$2,925.00 "
DreamCo,1189833,14/7/2022,1,West,California,Powerade,$0.50 ,"7,000","$3,500.00 "
DreamCo,1189833,14/7/2022,1,West,California,Dasani Water,$0.65 ,"7,000","$4,550.00 "
DreamCo,1189833,15/8/2022,1,West,California,Coca-Cola,$0.50 ,"9,000","$4,500.00 "
DreamCo,1189833,15/8/2022,1,West,California,Diet Coke,$0.55 ,"8,500","$4,675.00 "
DreamCo,1189833,15/8/2022,1,West,California,Sprite,$0.50 ,"7,250","$3,625.00 "
DreamCo,1189833,15/8/2022,1,West,California,Fanta,$0.50 ,"6,750","$3,375.00 "
DreamCo,1189833,15/8/2022,1,West,California,Powerade,$0.60 ,"6,750","$4,050.00 "
DreamCo,1189833,15/8/2022,1,West,California,Dasani Water,$0.65 ,"6,500","$4,225.00 "
DreamCo,1189833,16/9/2022,1,West,California,Coca-Cola,$0.50 ,"8,500","$4,250.00 "
DreamCo,1189833,16/9/2022,1,West,California,Diet Coke,$0.55 ,"8,500","$4,675.00 "
DreamCo,1189833,16/9/2022,1,West,California,Sprite,$0.50 ,"7,000","$3,500.00 "
DreamCo,1189833,16/9/2022,1,West,California,Fanta,$0.50 ,"6,500","$3,250.00 "
DreamCo,1189833,16/9/2022,1,West,California,Powerade,$0.60 ,"6,500","$3,900.00 "
